"","time","proportionDisseminated","mainRun"
"1",0,0," 1"
"2",0.1,0," 1"
"3",0.2,0," 1"
"4",0.3,0," 1"
"5",0.4,0," 1"
"6",0.5,0.0333333333333333," 1"
"7",0.6,0.0333333333333333," 1"
"8",0.7,0.0333333333333333," 1"
"9",0.8,0.0333333333333333," 1"
"10",0.9,0.0333333333333333," 1"
"11",1,0.0333333333333333," 1"
"12",1.1,0.0333333333333333," 1"
"13",1.2,0.0666666666666667," 1"
"14",1.3,0.0666666666666667," 1"
"15",1.4,0.0666666666666667," 1"
"16",1.5,0.0666666666666667," 1"
"17",1.6,0.0666666666666667," 1"
"18",1.7,0.1," 1"
"19",1.8,0.1," 1"
"20",1.9,0.1," 1"
"21",2,0.1," 1"
"22",2.1,0.1," 1"
"23",2.2,0.1," 1"
"24",2.3,0.1," 1"
"25",2.4,0.1," 1"
"26",2.5,0.1," 1"
"27",2.6,0.133333333333333," 1"
"28",2.7,0.166666666666667," 1"
"29",2.8,0.166666666666667," 1"
"30",2.9,0.166666666666667," 1"
"31",3,0.166666666666667," 1"
"32",3.1,0.166666666666667," 1"
"33",3.2,0.166666666666667," 1"
"34",3.3,0.2," 1"
"35",3.4,0.2," 1"
"36",3.5,0.2," 1"
"37",3.6,0.2," 1"
"38",3.7,0.233333333333333," 1"
"39",3.8,0.233333333333333," 1"
"40",3.9,0.266666666666667," 1"
"41",4,0.266666666666667," 1"
"42",4.1,0.3," 1"
"43",4.2,0.3," 1"
"44",4.3,0.3," 1"
"45",4.4,0.3," 1"
"46",4.5,0.3," 1"
"47",4.6,0.3," 1"
"48",4.7,0.3," 1"
"49",4.8,0.3," 1"
"50",4.9,0.3," 1"
"51",5,0.3," 1"
"52",5.1,0.3," 1"
"53",5.2,0.3," 1"
"54",5.3,0.3," 1"
"55",5.4,0.3," 1"
"56",5.5,0.3," 1"
"57",5.6,0.3," 1"
"58",5.7,0.333333333333333," 1"
"59",5.8,0.366666666666667," 1"
"60",5.9,0.366666666666667," 1"
"61",6,0.366666666666667," 1"
"62",6.1,0.366666666666667," 1"
"63",6.2,0.366666666666667," 1"
"64",6.3,0.366666666666667," 1"
"65",6.4,0.366666666666667," 1"
"66",6.5,0.366666666666667," 1"
"67",6.6,0.366666666666667," 1"
"68",6.7,0.4," 1"
"69",6.8,0.4," 1"
"70",6.9,0.4," 1"
"71",7,0.4," 1"
"72",7.1,0.4," 1"
"73",7.2,0.4," 1"
"74",7.3,0.4," 1"
"75",7.4,0.4," 1"
"76",7.5,0.4," 1"
"77",7.6,0.4," 1"
"78",7.7,0.433333333333333," 1"
"79",7.8,0.466666666666667," 1"
"80",7.9,0.5," 1"
"81",8,0.5," 1"
"82",8.1,0.5," 1"
"83",8.2,0.5," 1"
"84",8.3,0.5," 1"
"85",8.4,0.533333333333333," 1"
"86",8.5,0.533333333333333," 1"
"87",8.6,0.533333333333333," 1"
"88",8.7,0.533333333333333," 1"
"89",8.8,0.533333333333333," 1"
"90",8.9,0.533333333333333," 1"
"91",9,0.533333333333333," 1"
"92",9.1,0.533333333333333," 1"
"93",9.2,0.533333333333333," 1"
"94",9.3,0.533333333333333," 1"
"95",9.4,0.533333333333333," 1"
"96",9.5,0.533333333333333," 1"
"97",9.6,0.533333333333333," 1"
"98",9.7,0.533333333333333," 1"
